container,crop,rep,bay,reservoir_size_liters,plant,date,pH,EC,h2o_temp_C,d.o.,plant_height_cm,harvest_fresh_mass_g,harvest_dry_mass_g,PAR_CCT,PAR_CRI (Ra),PAR_DLI,PAR_ä½D (380~780 nm),PAR_ä½p (380~780 nm),PAR_Illuminance,PAR_PPFD (400 - 700 nm),PAR_PPFD B (400 - 499 nm),PAR_PPFD FR (701 - 780 nm),PAR_PPFD G (500 - 599 nm),PAR_PPFD R (600 - 700 nm),PAR_PPFD UV (380 - 399 nm),PAR_R/B,PAR_R/FR,PAR_YPFD (380 - 780 nm),PAR_YPFD (400 - 700 nm),PAR_YPFD B (400 - 499 nm),PAR_YPFD FR (701 - 780 nm),PAR_YPFD G (500 - 599 nm),PAR_YPFD R (600 - 700 nm),PAR_YPFD UV (380 - 399 nm),solution_K_ppmK,solution_Ca_ppmCA,solution_Mg_ppmMg,solution_Na_ppmNa,solution_P_ppmN,solution_S_ppmS,solution_Cl_ppmCl,solution_NH4N_ppmNH4N,solution_NO3N_ppmNO3N,solution_ALK_ppmCaCO3,solution_pH,solution_EC,solution_Urea_ppmurea,solution_Fe_ppm_Fe,solution_Mn_ppmMn,solution_B_ppmB,solution_Cu_ppmCu,solution_Zn_ppmAn,solution_Mo_ppmMo,solution_Al_ppmAl,tissue_N_%,tissue_P_%,tissue_K_%,tissue_Ca_%,tissue_Mg_%,tissue_S_ppm,tissue_Fe_ppm,tissue_Mn_ppm,tissue_B_ppm,tissue_Cu_ppm,tissue_Zn_ppm,tissue_Mo_ppm,tissue_Na_ppm,tissue_Al_ppm
FS2,basil,2,209,75,914,20181029,6.2,2.2,26,NA,22,NA,NA,0,0,35.091,0,662,7079,406.15,112.2,6.8093,22.405,271.57,0.2344,2.42,39.88,354.71,353.03,82.123,1.5492,19.809,251.13,0.1372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,209,75,915,20181029,6.2,2.2,26,NA,22,NA,NA,0,0,36.617,0,662,7401,423.81,121.51,7.3928,23.416,278.91,0.3006,2.3,37.73,369.28,367.47,88.948,1.6413,20.69,257.87,0.1775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,209,75,916,20181029,6.2,2.2,26,NA,23,NA,NA,0,0,35.266,0,662,7225,408.17,115.94,6.7674,23.428,268.83,0.2366,2.32,39.72,355.87,354.21,84.877,1.5243,20.707,248.66,0.1409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,209,75,917,20181029,6.2,2.2,26,NA,20.5,NA,NA,0,0,34.193,0,662,7089,395.75,114.11,6.6886,23.45,258.21,0.2855,2.26,38.6,344.71,343.07,83.546,1.4709,20.729,238.82,0.1676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,209,75,918,20181029,6.2,2.2,26,NA,24,NA,NA,0,0,32.687,0,662,6742,378.33,111.08,6.2846,22.411,244.85,0.2717,2.2,38.96,329,327.42,81.335,1.4106,19.81,226.31,0.1607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,210,150,1001,20181029,6.1,2.2,26,NA,23,NA,NA,0,0,29.518,0,663,5445,341.65,91.708,6.2008,16.121,233.84,0.2824,2.55,37.71,298.49,296.95,67.151,1.3685,14.233,215.59,0.1666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,210,150,1002,20181029,6.1,2.2,26,NA,26,NA,NA,0,0,36.876,0,663,7162,426.81,117.95,7.7181,22.405,286.48,0.3012,2.43,37.12,372.24,370.32,86.364,1.7286,19.801,264.2,0.1785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,210,150,1003,20181029,6.1,2.2,26,NA,12,NA,NA,0,0,25.791,0,663,4972,298.51,83.708,5.2451,15.567,199.25,0.2151,2.38,37.99,260.17,258.88,61.295,1.1572,13.747,183.87,0.1264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,210,150,1004,20181029,6.1,2.2,26,NA,27,NA,NA,0,0,36.779,0,663,7369,425.68,121.44,7.3094,24.16,280.11,0.2422,2.31,38.32,370.46,368.65,88.902,1.6574,21.343,258.45,0.1445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FS2,basil,2,210,150,1005,20181029,6.1,2.2,26,NA,18,NA,NA,0,0,26.997,0,663,5343,312.47,87.746,5.3673,17.324,207.41,0.2223,2.36,38.64,272.25,270.91,64.23,1.2069,15.314,191.39,0.1313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
